municipio,year,hectares_lost
CONTADERO,2005,2
CUASPUD,2005,4
CUMBAL,2005,34
CUMBITARA,2005,122
CORDOBA,2005,35
EL CHARCO,2005,335
EL PE¥OL,2005,1
EL ROSARIO,2005,162
EL TABLON,2005,30
EL TAMBO,2005,13
FRANCISCO PIZARRO,2005,0
FUNES,2005,47
GUACHUCAL,2005,17
GUAITARILLA,2005,3
GUALMATAN,2005,13
ILES,2005,4
IMUES,2005,0
IPIALES,2005,174
LA CRUZ,2005,10
LA FLORIDA,2005,14
LA LLANADA,2005,16
LA TOLA,2005,0
LA UNION,2005,37
LEIVA,2005,37
LINARES,2005,4
LOS ANDES,2005,20
MAGUI,2005,69
MALLAMA,2005,41
MOSQUERA,2005,0
NARI¥O,2005,15
OLAYA,2005,5
OSPINA,2005,3
POLICARPA,2005,157
POTOSI,2005,40
PROVIDENCIA,2005,0
PUERRES,2005,34
PUPIALES,2005,32
RICAURTE,2005,19
ROBERTO PAYAN,2005,4
SAMANIEGO,2005,60
SAN BERNARDO,2005,10
PASTO,2005,183
SAN LORENZO,2005,26
SAN PABLO,2005,11
SAN PEDRO DE CARTAGO,2005,6
SANDONA,2005,12
SANTA BARBARA,2005,37
SANTA CRUZ,2005,14
SAPUYES,2005,11
TAMINANGO,2005,15
TANGUA,2005,53
TUMACO,2005,189
TUQUERRES,2005,33
YACUANQUER,2005,3
ABREGO,2005,201
ARBOLEDAS,2005,31
BOCHALEMA,2005,27
BUCARASICA,2005,22
CHINACOTA,2005,18
CHITAGA,2005,73
CONVENCION,2005,176
CUCUTILLA,2005,27
CACHIRA,2005,64
CACOTA,2005,8
DURANIA,2005,18
EL CARMEN,2005,187
EL TARRA,2005,243
EL ZULIA,2005,161
GRAMALOTE,2005,4
HACARI,2005,148
HERRAN,2005,9
LA ESPERANZA,2005,147
LA PLAYA,2005,64
LABATECA,2005,34
LOS PATIOS,2005,6
LOURDES,2005,3
MUTISCUA,2005,14
OCA¥A,2005,137
PAMPLONA,2005,33
PAMPLONITA,2005,9
PUERTO SANTANDER,2005,4
RAGONVALIA,2005,16
SALAZAR,2005,29
SAN CALIXTO,2005,65
SAN CAYETANO,2005,4
CUCUTA,2005,372
SANTIAGO,2005,9
SILOS,2005,6
SARDINATA,2005,564
TEORAMA,2005,237
TIBU,2005,1084
TOLEDO,2005,192
VILLA CARO,2005,44
VILLA DEL ROSARIO,2005,6
COLON,2005,5
ORITO,2005,597
PUERTO ASIS,2005,728
PUERTO CAICEDO,2005,370
PUERTO GUZMAN,2005,3748
PUERTO LEGUIZAMO,2005,3661
SAN FRANCISCO,2005,33
SAN MIGUEL,2005,188
MOCOA,2005,159
SANTIAGO,2005,41
SIBUNDOY,2005,7
VALLE DEL GUAMUEZ,2005,423
VILLAGARZON,2005,362
ARMENIA,2005,92
BUENAVISTA,2005,36
CALARCA,2005,103
CIRCASIA,2005,66
CORDOBA,2005,31
FILANDIA,2005,78
GENOVA,2005,47
LA TEBAIDA,2005,34
MONTENEGRO,2005,48
PIJAO,2005,59
QUIMBAYA,2005,76
SALENTO,2005,118
APIA,2005,103
BALBOA,2005,51
BELEN DE UMBRIA,2005,59
DOSQUEBRADAS,2005,26
GUATICA,2005,24
LA CELIA,2005,51
LA VIRGINIA,2005,3
MARSELLA,2005,65
MISTRATO,2005,34
PEREIRA,2005,230
PUEBLO RICO,2005,44
QUINCHIA,2005,30
SANTA ROSA DE CABAL,2005,268
SANTUARIO,2005,93
ISLAS SERRANILLA,2005,0
PROVIDENCIA,2005,0
SAN ANDRES,2005,0
AGUADA,2005,12
ALBANIA,2005,13
ARATOCA,2005,4
BARBOSA,2005,28
BARICHARA,2005,15
BARRANCABERMEJA,2005,593
BETULIA,2005,120
BOLIVAR,2005,802
BUCARAMANGA,2005,9
CABRERA,2005,45
CALIFORNIA,2005,1
CAPITANEJO,2005,1
CARCASI,2005,5
CEPITA,2005,1
CERRITO,2005,2
CHARALA,2005,33
CHARTA,2005,13
CHIMA,2005,3
CHIPATA,2005,7
CIMITARRA,2005,3067
CONCEPCION,2005,5
CONFINES,2005,7
CONTRATACION,2005,6
COROMORO,2005,28
CURITI,2005,76
EL CARMEN DE CHUCURI,2005,282
EL GUACAMAYO,2005,10
EL PE¥ON,2005,29
EL PLAYON,2005,72
ENCINO,2005,20
ENCISO,2005,2
FLORIDABLANCA,2005,9
FLORIAN,2005,20
GALAN,2005,38
GIRON,2005,89
GUACA,2005,4
GUADALUPE,2005,11
GUAPOTA,2005,5
GUAVATA,2005,14
GAMBITA,2005,59
GUEPSA,2005,16
HATO,2005,13
JESUS MARIA,2005,8
JORDAN,2005,1
LA BELLEZA,2005,125
LA PAZ,2005,22
LANDAZURI,2005,396
LEBRIJA,2005,156
LOS SANTOS,2005,1
MACARAVITA,2005,2
MATANZA,2005,17
MOGOTES,2005,67
MOLAGAVITA,2005,5
MALAGA,2005,0
OCAMONTE,2005,17
OIBA,2005,39
ONZAGA,2005,11
PALMAR,2005,21
PALMAS DEL SOCORRO,2005,6
PIEDECUESTA,2005,50
PINCHOTE,2005,11
PUENTE NACIONAL,2005,24
PUERTO PARRA,2005,969
PUERTO WILCHES,2005,867
PARAMO,2005,21
RIONEGRO,2005,465
SABANA DE TORRES,2005,860
SAN ANDRES,2005,6
SAN BENITO,2005,14
SAN GIL,2005,66
SAN JOAQUIN,2005,6
SAN JOSE DE MIRANDA,2005,1
SAN MIGUEL,2005,2
SAN VICENTE DE CHUCURI,2005,706
SANTA BARBARA,2005,6
SANTA HELENA DEL OPON,2005,165
SIMACOTA,2005,1057
SOCORRO,2005,34
SUAITA,2005,47
SUCRE,2005,291
SURATA,2005,16
TONA,2005,10
VALLE DE SAN JOSE,2005,19
VETAS,2005,1
VILLANUEVA,2005,0
VELEZ,2005,226
ZAPATOCA,2005,27
BUENAVISTA,2005,3
CAIMITO,2005,160
CHALAN,2005,15
COLOSO,2005,10
COROZAL,2005,18
COVEÑAS,2005,10
EL ROBLE,2005,79
GALERAS,2005,40
GUARANDA,2005,24
LA UNION,2005,60
LOS PALMITOS,2005,2
MAJAGUAL,2005,33
MORROA,2005,18
OVEJAS,2005,91
SAMPUES,2005,3
SAN ANTONIO DE PALMITO,2005,9
SAN BENITO ABAD,2005,195
SAN JUAN DE BETULIA,2005,1
SAN MARCOS,2005,253
SAN ONOFRE,2005,139
SAN PEDRO,2005,0
SINCELEJO,2005,64
SINCE,2005,9
SUCRE,2005,88
TOLUVIEJO,2005,12
TOLU,2005,2
ALPUJARRA,2005,44
ALVARADO,2005,137
AMBALEMA,2005,55
ANZOATEGUI,2005,87
ARMERO,2005,60
ATACO,2005,230
CAJAMARCA,2005,87
CARMEN DE APICALA,2005,9
CASABIANCA,2005,25
CHAPARRAL,2005,255
COELLO,2005,136
COYAIMA,2005,19
CUNDAY,2005,111
DOLORES,2005,94
ESPINAL,2005,8
FALAN,2005,71
FLANDES,2005,1
FRESNO,2005,99
GUAMO,2005,44
HERVEO,2005,52
HONDA,2005,46
IBAGUE,2005,274
ICONONZO,2005,83
LERIDA,2005,86
LIBANO,2005,135
MELGAR,2005,29
MURILLO,2005,22
NATAGAIMA,2005,16
ORTEGA,2005,113
PALOCABILDO,2005,20
PIEDRAS,2005,124
PLANADAS,2005,300
PRADO,2005,58
PURIFICACION,2005,114
RIOBLANCO,2005,159
RONCESVALLES,2005,70
ROVIRA,2005,103
SALDA¥A,2005,22
SAN ANTONIO,2005,64
SAN LUIS,2005,41
SAN SEBASTIAN,2005,75
SANTA ISABEL,2005,32
SUAREZ,2005,76
VALLE DE SAN JUAN,2005,30
VENADILLO,2005,87
VILLAHERMOSA,2005,29
VILLARRICA,2005,30
ALCALA,2005,39
ANDALUCIA,2005,10
ANSERMANUEVO,2005,56
ARGELIA,2005,24
BOLIVAR,2005,78
BUENAVENTURA,2005,208
BUGALAGRANDE,2005,42
CAICEDONIA,2005,115
CALIMA,2005,227
CANDELARIA,2005,15
CARTAGO,2005,19
DAGUA,2005,178
EL CAIRO,2005,33
EL CERRITO,2005,89
EL DOVIO,2005,23
EL AGUILA,2005,28
FLORIDA,2005,54
GINEBRA,2005,68
GUACARI,2005,40
BUGA,2005,79
JAMUNDI,2005,103
LA CUMBRE,2005,81
LA UNION,2005,15
LA VICTORIA,2005,9
OBANDO,2005,50
PALMIRA,2005,166
PRADERA,2005,39
RESTREPO,2005,129
RIOFRIO,2005,33
ROLDANILLO,2005,33
SAN PEDRO,2005,49
CALI,2005,31
SEVILLA,2005,118
TORO,2005,30
TRUJILLO,2005,89
TULUA,2005,265
ULLOA,2005,19
VERSALLES,2005,39
VIJES,2005,53
YOTOCO,2005,30
YUMBO,2005,89
ZARZAL,2005,13
CARURU,2005,192
MITU,2005,772
PACOA,2005,274
PAPUNAHUA,2005,49
TARAIRA,2005,60
YAVARATE,2005,78
CUMARIBO,2005,4325
LA PRIMAVERA,2005,332
PUERTO CARRE¥O,2005,53
SANTA ROSALIA,2005,15
EL ENCANTO,2006,235
LA CHORRERA,2006,217
LA PEDRERA,2006,132
LA VICTORIA,2006,13
LETICIA,2006,160
MIRITI-PARANA,2006,51
PUERTO ALEGRIA,2006,108
PUERTO ARICA,2006,35
PUERTO NARI¥O,2006,57
PUERTO SANTANDER,2006,54
TARAPACA,2006,88
ABEJORRAL,2006,94
ABRIAQUI,2006,39
ALEJANDRIA,2006,36
AMAGA,2006,20
AMALFI,2006,844
ANDES,2006,170
ANGELOPOLIS,2006,12
ANGOSTURA,2006,434
ANORI,2006,849
ANZA,2006,49
APARTADO,2006,164
ARBOLETES,2006,222
ARGELIA,2006,30
ARMENIA,2006,7
BARBOSA,2006,38
BELLO,2006,68
BELMIRA,2006,61
BETANIA,2006,102
BETULIA,2006,100
BRICE¥O,2006,81
BURITICA,2006,23
CAICEDO,2006,74
CALDAS,2006,172
CAMPAMENTO,2006,91
CARACOLI,2006,173
CARAMANTA,2006,22
CAREPA,2006,73
CAROLINA,2006,80
CAUCASIA,2006,891
CA¥ASGORDAS,2006,77
CHIGORODO,2006,79
CISNEROS,2006,7
CIUDAD BOLIVAR,2006,210
COCORNA,2006,66
CONCEPCION,2006,56
CONCORDIA,2006,139
COPACABANA,2006,48
CACERES,2006,1272
DABEIBA,2006,195
DON MATIAS,2006,85
EBEJICO,2006,68
EL BAGRE,2006,871
EL CARMEN DE VIBORAL,2006,33
SOPETRAN,2006,34
ENTRERRIOS,2006,80
ENVIGADO,2006,58
FREDONIA,2006,28
FRONTINO,2006,131
GIRALDO,2006,16
GIRARDOTA,2006,24
GRANADA,2006,10
GUADALUPE,2006,55
GUARNE,2006,97
GUATAPE,2006,38
GOMEZ PLATA,2006,206
HELICONIA,2006,35
HISPANIA,2006,13
ITAGUI,2006,6
ITUANGO,2006,178
JARDIN,2006,40
JERICO,2006,36
LA CEJA,2006,51
LA ESTRELLA,2006,26
LA PINTADA,2006,5
LA UNION,2006,14
LIBORINA,2006,28
MACEO,2006,634
MARINILLA,2006,35
MEDELLIN,2006,161
MONTEBELLO,2006,66
MURINDO,2006,50
MUTATA,2006,268
NARI¥O,2006,21
NECHI,2006,637
NECOCLI,2006,393
OLAYA,2006,2
PEQUE,2006,40
PE¥OL,2006,29
PUEBLORRICO,2006,12
PUERTO BERRIO,2006,1636
PUERTO NARE,2006,558
PUERTO TRIUNFO,2006,139
REMEDIOS,2006,2700
RETIRO,2006,310
RIONEGRO,2006,180
SABANALARGA,2006,17
SABANETA,2006,11
SALGAR,2006,133
SAN ANDRES,2006,177
SAN CARLOS,2006,269
SAN FRANCISCO,2006,123
SAN JERONIMO,2006,41
SAN JOSE DE LA MONTA¥A,2006,12
SAN JUAN DE URABA,2006,33
SAN LUIS,2006,714
SAN PEDRO DE URABA,2006,122
SAN PEDRO,2006,81
SAN RAFAEL,2006,104
SAN ROQUE,2006,213
SAN VICENTE,2006,44
SANTA BARBARA,2006,86
SANTA ROSA DE OSOS,2006,414
SANTAFE DE ANTIOQUIA,2006,68
SANTO DOMINGO,2006,111
SANTUARIO,2006,12
SEGOVIA,2006,838
SONSON,2006,407
TARAZA,2006,959
TARSO,2006,34
TITIRIBI,2006,17
TOLEDO,2006,6
TURBO,2006,605
TAMESIS,2006,46
URAMITA,2006,28
URRAO,2006,358
VALDIVIA,2006,496
VALPARAISO,2006,18
VEGACHI,2006,446
VENECIA,2006,16
VIGIA DEL FUERTE,2006,13
YALI,2006,385
YARUMAL,2006,143
YOLOMBO,2006,690
YONDO,2006,1710
ZARAGOZA,2006,1011
ARAUCA,2006,59
ARAUQUITA,2006,327
CRAVO NORTE,2006,13
FORTUL,2006,215
PUERTO RONDON,2006,79
SARAVENA,2006,236
TAME,2006,677
BARANOA,2006,10
BARRANQUILLA,2006,15
CAMPO DE LA CRUZ,2006,2
CANDELARIA,2006,0
GALAPA,2006,15
JUAN DE ACOSTA,2006,21
LURUACO,2006,27
MALAMBO,2006,75
MANATI,2006,5
PALMAR DE VARELA,2006,5
PIOJO,2006,36
POLONUEVO,2006,1
PONEDERA,2006,3
PUERTO COLOMBIA,2006,12
REPELON,2006,65
SABANAGRANDE,2006,0
SABANALARGA,2006,11
SANTA LUCIA,2006,2
SANTO TOMAS,2006,2
SOLEDAD,2006,0
SUAN,2006,6
TUBARA,2006,18
USIACURI,2006,8
SANTAFE DE BOGOTA D.C.,2006,103
ACHI,2006,85
ALTOS DEL ROSARIO,2006,27
ARENAL,2006,296
ARJONA,2006,24
ARROYOHONDO,2006,8
BARRANCO DE LOBA,2006,39
CALAMAR,2006,52
CANTAGALLO,2006,327
CARTAGENA,2006,91
CICUCO,2006,0
CLEMENCIA,2006,10
CORDOBA,2006,92
EL CARMEN DE BOLIVAR,2006,365
EL GUAMO,2006,201
EL PE¥ON,2006,57
HATILLO DE LOBA,2006,35
MAGANGUE,2006,93
MAHATES,2006,16
MARGARITA,2006,18
MARIA LA BAJA,2006,12
MOMPOS,2006,15
MONTECRISTO,2006,485
MORALES,2006,510
PINILLOS,2006,23
REGIDOR,2006,21
RIO VIEJO,2006,352
SAN CRISTOBAL,2006,5
SAN ESTANISLAO,2006,39
SAN FERNANDO,2006,17
SAN JACINTO,2006,129
SAN JACINTO DEL CAUCA,2006,186
SAN JUAN NEPOMUCENO,2006,110
SAN MARTIN DE LOBA,2006,137
SAN PABLO,2006,1722
SANTA CATALINA,2006,40
SANTA ROSA,2006,10
SANTA ROSA DEL SUR,2006,897
SIMITI,2006,1400
SOPLAVIENTO,2006,0
TALAIGUA NUEVO,2006,9
TIQUISIO,2006,122
TURBACO,2006,57
TURBANA,2006,38
VILLANUEVA,2006,40
ZAMBRANO,2006,14
ALMEIDA,2006,14
AQUITANIA,2006,65
ARCABUCO,2006,9
BELEN,2006,5
BERBEO,2006,2
BETEITIVA,2006,0
BOAVITA,2006,1
BOYACA,2006,0
BRICE¥O,2006,10
BUENAVISTA,2006,41
BUSBANZA,2006,0
CALDAS,2006,9
CAMPOHERMOSO,2006,6
CERINZA,2006,1
CHINAVITA,2006,1
CHIQUINQUIRA,2006,38
CHISCAS,2006,11
CHITA,2006,53
CHITARAQUE,2006,33
CHIVATA,2006,0
CHIVOR,2006,3
CHIQUIZA,2006,1
CIENAGA,2006,1
COPER,2006,36
CORRALES,2006,0
COVARACHIA,2006,1
CUBARA,2006,75
CUCAITA,2006,0
CUITIVA,2006,4
COMBITA,2006,4
DUITAMA,2006,14
EL COCUY,2006,5
EL ESPINO,2006,4
FIRAVITOBA,2006,2
FLORESTA,2006,3
GACHANTIVA,2006,4
GARAGOA,2006,5
GUACAMAYAS,2006,1
GUATEQUE,2006,0
GUAYATA,2006,5
GAMEZA,2006,1
GUICAN,2006,7
IZA,2006,1
JENESANO,2006,1
JERICO,2006,3
LA CAPILLA,2006,1
LA UVITA,2006,8
LA VICTORIA,2006,2
LABRANZAGRANDE,2006,122
MACANAL,2006,5
MARIPI,2006,21
MIRAFLORES,2006,2
MONGUA,2006,44
MONGUI,2006,3
MONIQUIRA,2006,32
MOTAVITA,2006,0
MUZO,2006,11
NOBSA,2006,1
NUEVO COLON,2006,1
OICATA,2006,1
OTANCHE,2006,147
PACHAVITA,2006,1
PAIPA,2006,45
PAJARITO,2006,78
PANQUEBA,2006,1
PAUNA,2006,63
PAYA,2006,164
PAZ DE RIO,2006,2
PESCA,2006,9
PISBA,2006,70
PUERTO BOYACA,2006,661
PAEZ,2006,17
QUIPAMA,2006,22
RAMIRIQUI,2006,6
RONDON,2006,6
RAQUIRA,2006,10
SABOYA,2006,25
SAMACA,2006,3
SAN EDUARDO,2006,4
SAN JOSE DE PARE,2006,34
SAN LUIS DE GACENO,2006,34
SAN MATEO,2006,4
SAN MIGUEL DE SEMA,2006,87
SAN PABLO DE BORBUR,2006,15
SANTA MARIA,2006,27
SANTA ROSA DE VITERBO,2006,2
SANTA SOFIA,2006,2
SANTANA,2006,44
SATIVANORTE,2006,4
SATIVASUR,2006,1
SIACHOQUE,2006,2
SOATA,2006,1
SOCHA,2006,6
SOCOTA,2006,62
SOGAMOSO,2006,17
SOMONDOCO,2006,2
SORA,2006,0
SORACA,2006,2
SOTAQUIRA,2006,31
SUSACON,2006,6
SUTAMARCHAN,2006,3
SUTATENZA,2006,1
SACHICA,2006,0
TASCO,2006,10
TENZA,2006,1
TIBANA,2006,5
TIBASOSA,2006,3
TINJACA,2006,8
TIPACOQUE,2006,1
TOCA,2006,8
TOGUI,2006,20
TOPAGA,2006,3
TOTA,2006,4
TUNJA,2006,3
TUNUNGUA,2006,19
TURMEQUE,2006,1
TUTA,2006,4
TUTAZA,2006,1
UMBITA,2006,3
VENTAQUEMADA,2006,6
VILLA DE LEYVA,2006,9
VIRACACHA,2006,3
ZETAQUIRA,2006,11
AGUADAS,2006,94
ANSERMA,2006,81
ARANZAZU,2006,28
BELALCAZAR,2006,62
CHINCHINA,2006,101
FILADELFIA,2006,53
LA DORADA,2006,298
LA MERCED,2006,19
MANIZALES,2006,162
MANZANARES,2006,65
MARMATO,2006,10
MARQUETALIA,2006,17
MARULANDA,2006,15
NEIRA,2006,79
NORCASIA,2006,167
PALESTINA,2006,145
PENSILVANIA,2006,107
PACORA,2006,87
RIOSUCIO,2006,123
RISARALDA,2006,36
SALAMINA,2006,52
SAMANA,2006,142
SAN JOSE,2006,31
SUPIA,2006,26
VICTORIA,2006,328
VILLAMARIA,2006,38
VITERBO,2006,18
ALBANIA,2006,80
BELEN DE LOS ANDAQUIES,2006,263
CARTAGENA DEL CHAIRA,2006,2951
CURILLO,2006,228
EL DONCELLO,2006,220
EL PAUJIL,2006,144
FLORENCIA,2006,148
LA MONTA¥ITA,2006,333
MILAN,2006,310
MORELIA,2006,14
PUERTO RICO,2006,330
SAN JOSE DEL FRAGUA,2006,428
SAN VICENTE DEL CAGUAN,2006,6057
SOLANO,2006,1395
SOLITA,2006,83
VALPARAISO,2006,232
AGUAZUL,2006,347
CHAMEZA,2006,30
HATO COROZAL,2006,753
LA SALINA,2006,14
MANI,2006,416
MONTERREY,2006,46
NUNCHIA,2006,671
OROCUE,2006,100
PAZ DE ARIPORO,2006,641
PORE,2006,312
RECETOR,2006,23
SABANALARGA,2006,21
SAN LUIS DE PALENQUE,2006,340
SACAMA,2006,72
TAURAMENA,2006,332
TRINIDAD,2006,268
TAMARA,2006,293
VILLANUEVA,2006,365
YOPAL,2006,1031
ALMAGUER,2006,12
ARGELIA,2006,231
BALBOA,2006,44
BOLIVAR,2006,72
BUENOS AIRES,2006,129
CAJIBIO,2006,178
CALDONO,2006,66
CALOTO,2006,63
CORINTO,2006,43
EL TAMBO,2006,1136
FLORENCIA,2006,10
GUAPI,2006,175
INZA,2006,20
JAMBALO,2006,30
LA SIERRA,2006,14
LA VEGA,2006,49
LOPEZ,2006,136
MERCADERES,2006,69
MIRANDA,2006,25
MORALES,2006,129
PADILLA,2006,0
PATIA,2006,131
PIAMONTE,2006,434
PIENDAMO,2006,62
POPAYAN,2006,262
PUERTO TEJADA,2006,2
PURACE,2006,31
PAEZ,2006,137
ROSAS,2006,16
SAN SEBASTIAN,2006,36
SANTA ROSA,2006,78
SANTANDER DE QUILICHAO,2006,62
SILVIA,2006,67
SOTARA,2006,126
SUCRE,2006,17
SUAREZ,2006,94
TIMBIQUI,2006,329
TIMBIO,2006,35
TORIBIO,2006,36
TOTORO,2006,36
VILLA RICA,2006,1
AGUACHICA,2006,99
AGUSTIN CODAZZI,2006,190
ASTREA,2006,246
BECERRIL,2006,104
BOSCONIA,2006,121
CHIMICHAGUA,2006,750
CHIRIGUANA,2006,383
CURUMANI,2006,148
EL COPEY,2006,279
EL PASO,2006,168
GAMARRA,2006,42
GONZALEZ,2006,20
LA GLORIA,2006,188
LA JAGUA DE IBIRICO,2006,175
LA PAZ,2006,175
MANAURE,2006,34
PAILITAS,2006,65
PELAYA,2006,62
PUEBLO BELLO,2006,90
RIO DE ORO,2006,98
SAN ALBERTO,2006,134
SAN DIEGO,2006,211
SAN MARTIN,2006,243
TAMALAMEQUE,2006,132
VALLEDUPAR,2006,908
ACANDI,2006,168
ALTO BAUDO,2006,36
ATRATO,2006,12
BAGADO,2006,30
BAHIA SOLANO,2006,25
BAJO BAUDO,2006,54
BELEN DE BAJIRA,2006,489
BOJAYA,2006,43
CONDOTO,2006,50
CERTEGUI,2006,2
CANTON DEL SAN PABLO,2006,14
EL CARMEN DE ATRATO,2006,49
CARMEN DEL DARIEN,2006,136
EL LITORAL DEL SAN JUAN,2006,35
ISTMINA,2006,76
JURADO,2006,48
LLORO,2006,21
MEDIO ATRATO,2006,17
MEDIO BAUDO,2006,48
MEDIO SAN JUAN,2006,96
NUQUI,2006,13
NOVITA,2006,203
QUIBDO,2006,89
RIOSUCIO,2006,480
RIO IRO,2006,12
RIO QUITO,2006,13
SAN JOSE DEL PALMAR,2006,159
SIPI,2006,85
TADO,2006,30
UNGUIA,2006,176
UNION PANAMERICANA,2006,7
AGUA DE DIOS,2006,6
ALBAN,2006,10
ANAPOIMA,2006,43
ANOLAIMA,2006,20
ARBELAEZ,2006,24
BELTRAN,2006,44
BITUIMA,2006,2
BOJACA,2006,13
CABRERA,2006,14
CACHIPAY,2006,14
CAJICA,2006,21
CAPARRAPI,2006,154
CARMEN DE CARUPA,2006,25
CHAGUANI,2006,21
CHIPAQUE,2006,15
CHOACHI,2006,6
CHOCONTA,2006,21
CHIA,2006,9
COGUA,2006,22
COTA,2006,19
CUCUNUBA,2006,7
CAQUEZA,2006,3
EL COLEGIO,2006,42
EL PE¥ON,2006,8
EL ROSAL,2006,21
FACATATIVA,2006,70
FOSCA,2006,6
FUNZA,2006,20
FUSAGASUGA,2006,45
FOMEQUE,2006,8
FUQUENE,2006,13
GACHALA,2006,13
GACHANCIPA,2006,6
GACHETA,2006,9
GAMA,2006,2
GIRARDOT,2006,26
GRANADA,2006,11
GUACHETA,2006,36
GUADUAS,2006,168
GUASCA,2006,32
GUATAQUI,2006,37
GUATAVITA,2006,22
GUAYABAL DE  SIQUIMA,2006,11
GUAYABETAL,2006,8
GUTIERREZ,2006,18
JERUSALEN,2006,50
JUNIN,2006,9
LA CALERA,2006,37
LA MESA,2006,56
LA PALMA,2006,26
LA PE¥A,2006,7
LA VEGA,2006,32
LENGUAZAQUE,2006,13
MACHETA,2006,19
MADRID,2006,27
MANTA,2006,5
MEDINA,2006,78
MOSQUERA,2006,19
NARI¥O,2006,14
NEMOCON,2006,14
NILO,2006,109
NIMAIMA,2006,3
NOCAIMA,2006,7
PACHO,2006,27
PAIME,2006,16
PANDI,2006,10
PARATEBUENO,2006,244
PASCA,2006,54
PUERTO SALGAR,2006,82
PULI,2006,38
QUEBRADANEGRA,2006,14
QUETAME,2006,4
QUIPILE,2006,26
RAFAEL REYES,2006,40
RICAURTE,2006,10
SAN ANTONIO DEL TEQUENDAMA,2006,18
SAN BERNARDO,2006,23
SAN CAYETANO,2006,41
SAN FRANCISCO,2006,16
SAN JUAN DE RIO SECO,2006,51
SASAIMA,2006,14
SESQUILE,2006,20
SIBATE,2006,55
SILVANIA,2006,47
SIMIJACA,2006,16
SOACHA,2006,14
SOPO,2006,13
SUBACHOQUE,2006,19
SUESCA,2006,22
SUPATA,2006,11
SUSA,2006,9
SUTATAUSA,2006,9
TABIO,2006,6
TAUSA,2006,20
TENA,2006,10
TENJO,2006,17
TIBACUY,2006,6
TIBIRITA,2006,1
TOCANCIPA,2006,11
TOCAIMA,2006,17
TOPAIPI,2006,12
UBALA,2006,27
UBAQUE,2006,4
UNE,2006,12
VENECIA,2006,32
VERGARA,2006,5
VIANI,2006,16
UBATE,2006,24
VILLAGOMEZ,2006,6
VILLAPINZON,2006,8
VILLETA,2006,29
VIOTA,2006,113
YACOPI,2006,275
ZIPACON,2006,6
ZIPAQUIRA,2006,38
UTICA,2006,6
AYAPEL,2006,368
BUENAVISTA,2006,58
CANALETE,2006,69
CERETE,2006,3
CHIMA,2006,9
CHINU,2006,29
CIENAGA DE ORO,2006,122
COTORRA,2006,0
LA APARTADA,2006,21
LOS CORDOBAS,2006,88
MOMIL,2006,2
MONTELIBANO,2006,698
MONTERIA,2006,295
MO¥ITOS,2006,4
PLANETA RICA,2006,237
PUEBLO NUEVO,2006,199
PUERTO ESCONDIDO,2006,30
PUERTO LIBERTADOR,2006,769
PURISIMA,2006,8
SAN ANDRES DE SOTAVENTO,2006,11
SAN ANTERO,2006,24
SAHAGUN,2006,51
SAN BERNARDO DEL VIENTO,2006,4
SAN CARLOS,2006,33
SAN PELAYO,2006,28
LORICA,2006,26
TIERRALTA,2006,926
VALENCIA,2006,209
BARRANCO MINAS,2006,77
CACAHUAL,2006,4
LA GUADALUPE,2006,7
MAPIRIPANA,2006,191
MORICHAL NUEVO,2006,60
PANA PANA,2006,57
PUERTO COLOMBIA,2006,34
INIRIDA,2006,471
SAN FELIPE,2006,18
CALAMAR,2006,3584
EL RETORNO,2006,4118
MIRAFLORES,2006,1454
SAN JOSE DEL GUAVIARE,2006,8393
ACEVEDO,2006,232
AGRADO,2006,44
AIPE,2006,94
ALGECIRAS,2006,141
ALTAMIRA,2006,37
BARAYA,2006,75
CAMPOALEGRE,2006,134
COLOMBIA,2006,135
ELIAS,2006,21
GARZON,2006,166
GIGANTE,2006,103
GUADALUPE,2006,20
HOBO,2006,19
IQUIRA,2006,46
ISNOS,2006,82
LA ARGENTINA,2006,45
LA PLATA,2006,117
NEIVA,2006,250
NATAGA,2006,11
OPORAPA,2006,37
PAICOL,2006,22
PALERMO,2006,295
PALESTINA,2006,85
PITAL,2006,29
PITALITO,2006,194
RIVERA,2006,73
SALADOBLANCO,2006,33
SAN AGUSTIN,2006,124
SANTA MARIA,2006,86
SUAZA,2006,99
TARQUI,2006,52
TELLO,2006,76
TERUEL,2006,38
TESALIA,2006,84
TIMANA,2006,54
VILLAVIEJA,2006,12
YAGUARA,2006,100
BARRANCAS,2006,345
DIBULLA,2006,532
DISTRACCION,2006,63
EL MOLINO,2006,17
FONSECA,2006,229
HATONUEVO,2006,140
LA JAGUA DEL PILAR,2006,12
MAICAO,2006,601
MANAURE,2006,4
RIOHACHA,2006,1254
SAN JUAN DEL CESAR,2006,340
URIBIA,2006,6
URUMITA,2006,26
VILLANUEVA,2006,55
ALGARROBO,2006,80
ARACATACA,2006,132
ARIGUAINI,2006,146
CERRO SAN ANTONIO,2006,3
CHIVOLO,2006,164
CIENAGA,2006,141
CONCORDIA,2006,0
EL BANCO,2006,357
EL PI¥ON,2006,20
EL RETEN,2006,39
FUNDACION,2006,223
GUAMAL,2006,174
NUEVA GRANADA,2006,105
PEDRAZA,2006,15
PIJI¥O DEL CARMEN,2006,299
PIVIJAY,2006,179
PLATO,2006,583
PUEBLOVIEJO,2006,27
REMOLINO,2006,26
SABANAS DE SAN ANGEL,2006,611
